Company Name,Type of Company,Year of Establishment,Registration Number,GST Number,PAN Number,Head Office District,Contact Number,Official Email,Website,Branch Office Locations,Owner / MD Name,Key Decision Maker,Total Employees,Organizational Structure,Board of Directors,Nature of Business,Core Specialization,Service Areas,Years of Experience,Avg Projects Per Year,Avg Annual Turnover (Rs.),Net Worth (Rs.),Financial Stability,Financial Commitments,Total Engineers,Total Technical Staff,Major Machinery,Equipment Capacity,Total Projects Completed,Blacklisting History,Legal Disputes,ISO Certification,Safety Compliance,Environmental Compliance,Labour Law Compliance
Square Infra Solutions 15,Pvt Ltd,2015,91WY5D1MVO,KSG0J7D572AZT0C,NUZVO0UMD4,Viluppuram,9884877858,squareinfrasolutions15@example.com,www.squareinfra15.com,Tiruvannamalai,Owner 15,MD 15,471,Hierarchical,"Director A15, Director B15",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,4,2,116516004,183667412,At Risk,14134720,30,55,"Excavators, Cranes, Concrete Mixers",Medium,173,Yes,No,Multiple,Medium,Partial,Non-Compliant
Square Infra Solutions 16,Pvt Ltd,2019,1KD5EN1ZH9,RS79HOP97S0QG45,8OGV62KLW8,Thoothukudi,9779033950,squareinfrasolutions16@example.com,www.squareinfra16.com,Coimbatore,Owner 16,MD 16,31,Hierarchical,"Director A16, Director B16",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,17,133662715,247225006,At Risk,32063407,78,125,"Excavators, Cranes, Concrete Mixers",High,68,No,Yes,ISO 14001,High,Non-Compliant,Non-Compliant
Square Infra Solutions 17,Ltd,2019,RYS96ZL7BY,47X6889OD54S7PS,4RZ41PBP17,Tiruvannamalai,9124581344,squareinfrasolutions17@example.com,www.squareinfra17.com,Nilgiris,Owner 17,MD 17,97,Hierarchical,"Director A17, Director B17",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,10,25,442004112,44438276,Stable,13474163,13,140,"Excavators, Cranes, Concrete Mixers",Low,139,Yes,No,ISO 9001,Medium,Compliant,Partial
Square Infra Solutions 18,Ltd,2020,T7UTOZBHXV,2NHZNPOI6KWGAT6,EFI07Q17OC,Karur,9091245441,squareinfrasolutions18@example.com,www.squareinfra18.com,Thoothukudi,Owner 18,MD 18,192,Hierarchical,"Director A18, Director B18",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,6,5,380617906,19638312,At Risk,46644754,89,77,"Excavators, Cranes, Concrete Mixers",High,31,No,No,ISO 14001,Medium,Non-Compliant,Partial
Square Infra Solutions 19,Partnership,2003,8CLCXH4PMQ,07UGAUIVGFUMTPR,JAW960WYLN,Coimbatore,9032467406,squareinfrasolutions19@example.com,www.squareinfra19.com,Viluppuram,Owner 19,MD 19,435,Hierarchical,"Director A19, Director B19",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,3,14,400713424,22302147,Stable,21594818,88,26,"Excavators, Cranes, Concrete Mixers",Medium,146,Yes,Yes,ISO 9001,Medium,Partial,Partial
Square Infra Solutions 20,Partnership,2004,M5MHMLHXMO,U6O013EWW1SKLAI,F7UBIKHP8N,Madurai,9620958607,squareinfrasolutions20@example.com,www.squareinfra20.com,Cuddalore,Owner 20,MD 20,246,Hierarchical,"Director A20, Director B20",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,16,292912515,177917886,At Risk,22929020,15,153,"Excavators, Cranes, Concrete Mixers",High,255,No,No,ISO 14001,Medium,Compliant,Partial
Square Infra Solutions 21,Pvt Ltd,2018,MGOL87E089,CKZX9MLHX4MI1XF,HGE0G9OJ72,Viluppuram,9764319666,squareinfrasolutions21@example.com,www.squareinfra21.com,Tiruchirappalli,Owner 21,MD 21,153,Hierarchical,"Director A21, Director B21",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,11,24,212564449,239158294,Moderate,20496776,61,124,"Excavators, Cranes, Concrete Mixers",Low,232,Yes,No,ISO 9001,High,Partial,Compliant
Square Infra Solutions 22,Ltd,2017,4DBIJ344QG,VUQTOBXL79FQAFX,6GEXP88BIH,Tiruvallur,9481382328,squareinfrasolutions22@example.com,www.squareinfra22.com,Pudukkottai,Owner 22,MD 22,441,Hierarchical,"Director A22, Director B22",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,6,161756718,142740145,Stable,12258014,27,111,"Excavators, Cranes, Concrete Mixers",Low,66,Yes,Yes,ISO 14001,Medium,Non-Compliant,Non-Compliant
Square Infra Solutions 23,Proprietorship,1997,SZBMYDBX97,QLYE4QKAB9NN7KY,GOM5VUD6V0,Chengalpattu,9013359671,squareinfrasolutions23@example.com,www.squareinfra23.com,Dindigul,Owner 23,MD 23,267,Hierarchical,"Director A23, Director B23",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,8,357578912,50692208,At Risk,45054026,57,99,"Excavators, Cranes, Concrete Mixers",Medium,208,Yes,No,ISO 9001,High,Non-Compliant,Partial
Square Infra Solutions 24,Partnership,2016,LUFUB4OI5L,VJQ6ONXSNSDYFWP,VYC284A0IY,Kallakurichi,9692822399,squareinfrasolutions24@example.com,www.squareinfra24.com,Krishnagiri,Owner 24,MD 24,45,Hierarchical,"Director A24, Director B24",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,1,6,385609140,242016719,At Risk,36354940,28,134,"Excavators, Cranes, Concrete Mixers",Low,286,Yes,No,ISO 14001,Medium,Compliant,Partial
Square Infra Solutions 25,Proprietorship,1995,Q94BJQSVN0,JM6FHAUW70JFCID,CJ2FOYV231,Karur,9051137294,squareinfrasolutions25@example.com,www.squareinfra25.com,Cuddalore,Owner 25,MD 25,69,Hierarchical,"Director A25, Director B25",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,11,309518704,20895716,Moderate,1103624,99,158,"Excavators, Cranes, Concrete Mixers",Low,282,No,Yes,ISO 14001,Medium,Partial,Partial
Square Infra Solutions 26,Partnership,2021,LTMJXHYWI6,JJ0VRI2FG4APEFT,DXB5P1UBOT,Mayiladuthurai,9917913342,squareinfrasolutions26@example.com,www.squareinfra26.com,Tiruvarur,Owner 26,MD 26,290,Hierarchical,"Director A26, Director B26",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,6,24,499056447,169905729,Moderate,49314751,25,84,"Excavators, Cranes, Concrete Mixers",Medium,209,No,Yes,Multiple,Medium,Partial,Non-Compliant
Square Infra Solutions 27,Ltd,2014,831YRS2K9S,ZVAPDJ2FMO803JN,MOMO9XK5LM,Namakkal,9975751040,squareinfrasolutions27@example.com,www.squareinfra27.com,Tiruvarur,Owner 27,MD 27,316,Hierarchical,"Director A27, Director B27",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,8,258411730,100871287,At Risk,10743936,22,182,"Excavators, Cranes, Concrete Mixers",High,131,Yes,No,ISO 9001,High,Compliant,Partial
Square Infra Solutions 28,Proprietorship,1999,9GB5P2OL7B,K0PSFLI0W7L28CF,UCGFNPP7S7,Salem,9517180104,squareinfrasolutions28@example.com,www.squareinfra28.com,Theni,Owner 28,MD 28,273,Hierarchical,"Director A28, Director B28",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,17,13,184241591,178641216,Stable,13288055,26,13,"Excavators, Cranes, Concrete Mixers",High,10,No,Yes,ISO 45001,Medium,Compliant,Non-Compliant
Square Infra Solutions 29,Partnership,2006,57LH1GWJNA,VA0COBSGGL2Q33B,S6NP5JE489,Kancheepuram,9799253555,squareinfrasolutions29@example.com,www.squareinfra29.com,Tiruppur,Owner 29,MD 29,286,Hierarchical,"Director A29, Director B29",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,23,314119270,106451681,Moderate,48774383,30,135,"Excavators, Cranes, Concrete Mixers",Medium,61,No,No,Not Certified,High,Non-Compliant,Partial
Square Infra Solutions 30,Ltd,2011,Q6P8TS08UT,RSMVS63TUY7A9D3,V08P6VJ4FS,Tenkasi,9757730501,squareinfrasolutions30@example.com,www.squareinfra30.com,Erode,Owner 30,MD 30,238,Hierarchical,"Director A30, Director B30",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,4,86740310,150058637,Moderate,27162064,83,156,"Excavators, Cranes, Concrete Mixers",Low,21,No,Yes,Not Certified,Medium,Partial,Partial
Square Infra Solutions 31,Proprietorship,2008,J9QWPWFOO9,2V3647PHF0Z3V0O,TAREHOBK6D,Tenkasi,9468032943,squareinfrasolutions31@example.com,www.squareinfra31.com,Kanniyakumari,Owner 31,MD 31,400,Hierarchical,"Director A31, Director B31",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,14,25,257342172,234877711,Moderate,15669829,88,145,"Excavators, Cranes, Concrete Mixers",Medium,86,Yes,No,Multiple,High,Partial,Non-Compliant
Square Infra Solutions 32,Proprietorship,2015,6Q2PKTH5HM,MA1J8WH0IALFGGK,89XIY9MM17,Dharmapuri,9840106993,squareinfrasolutions32@example.com,www.squareinfra32.com,Dharmapuri,Owner 32,MD 32,364,Hierarchical,"Director A32, Director B32",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,11,491957006,279111569,Moderate,9124916,73,101,"Excavators, Cranes, Concrete Mixers",High,276,No,No,ISO 45001,High,Partial,Compliant
Square Infra Solutions 33,Proprietorship,1996,XN4W037H7U,JDGOI7PNNEJP9VQ,9QSGFD8P8C,Kancheepuram,9313003590,squareinfrasolutions33@example.com,www.squareinfra33.com,Viluppuram,Owner 33,MD 33,435,Hierarchical,"Director A33, Director B33",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,8,21,132700608,49558053,Moderate,19047442,57,69,"Excavators, Cranes, Concrete Mixers",Low,295,Yes,Yes,ISO 9001,Low,Non-Compliant,Compliant
Square Infra Solutions 34,Pvt Ltd,2000,S7EY7WCYPJ,WVYDDR18X74EXYJ,EQ5HEJ8DJ4,Chengalpattu,9616565090,squareinfrasolutions34@example.com,www.squareinfra34.com,Ranipet,Owner 34,MD 34,60,Hierarchical,"Director A34, Director B34",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,7,397606847,204155471,Stable,39870930,90,91,"Excavators, Cranes, Concrete Mixers",Low,210,Yes,No,ISO 45001,Medium,Compliant,Compliant
Square Infra Solutions 35,Ltd,2017,BQ00LVXVUC,NJ9SL0UGURQLEQM,LH3M8MOE7F,Kanniyakumari,9326180991,squareinfrasolutions35@example.com,www.squareinfra35.com,Tiruvarur,Owner 35,MD 35,310,Hierarchical,"Director A35, Director B35",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,16,6,212714945,164497269,Moderate,11654971,76,165,"Excavators, Cranes, Concrete Mixers",Low,297,Yes,No,Multiple,Low,Non-Compliant,Compliant
Square Infra Solutions 36,Pvt Ltd,2018,J365ZM5GM8,80N166XCILETN20,YOMCFZW4LL,Virudhunagar,9838326853,squareinfrasolutions36@example.com,www.squareinfra36.com,Tiruvarur,Owner 36,MD 36,299,Hierarchical,"Director A36, Director B36",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,8,13,438427637,128577971,Stable,6850159,21,71,"Excavators, Cranes, Concrete Mixers",Medium,107,No,Yes,ISO 9001,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 37,Ltd,2004,WX0421GOQ7,05H8JG2LPQ0TSMI,P0I2LBK75X,Vellore,9955299643,squareinfrasolutions37@example.com,www.squareinfra37.com,Ramanathapuram,Owner 37,MD 37,107,Hierarchical,"Director A37, Director B37",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,2,363672701,154796528,Moderate,30079424,42,99,"Excavators, Cranes, Concrete Mixers",Low,183,No,No,ISO 14001,High,Compliant,Partial
Square Infra Solutions 38,Proprietorship,2017,IFTE8UI6G7,F9YUGZ20XY4XZ1E,IIGUBRLYAL,Madurai,9988591562,squareinfrasolutions38@example.com,www.squareinfra38.com,Thanjavur,Owner 38,MD 38,65,Hierarchical,"Director A38, Director B38",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,25,18,299568678,200270994,At Risk,41042967,17,122,"Excavators, Cranes, Concrete Mixers",Low,58,Yes,No,ISO 9001,Low,Compliant,Compliant
Square Infra Solutions 39,Pvt Ltd,2022,YH7VVUQUNX,FVMF7OCR54V6B4Z,1G79BFRPJG,Thanjavur,9273631827,squareinfrasolutions39@example.com,www.squareinfra39.com,Dindigul,Owner 39,MD 39,223,Hierarchical,"Director A39, Director B39",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,22,321226414,234838502,Stable,29615657,21,72,"Excavators, Cranes, Concrete Mixers",Medium,12,Yes,No,Multiple,Low,Compliant,Partial
Square Infra Solutions 40,Proprietorship,2006,YGB43LFPR7,4H0OPO2NZ87OX6T,DN9XJY5GRB,Kallakurichi,9351486210,squareinfrasolutions40@example.com,www.squareinfra40.com,Erode,Owner 40,MD 40,435,Hierarchical,"Director A40, Director B40",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,8,324960868,276992326,At Risk,47162779,15,15,"Excavators, Cranes, Concrete Mixers",Medium,137,Yes,Yes,Multiple,High,Partial,Partial
Square Infra Solutions 41,Partnership,2011,VHOZFCOB54,OZENU81SKTTJ9VO,JMMRF88PD4,Thanjavur,9355637374,squareinfrasolutions41@example.com,www.squareinfra41.com,Tiruchirappalli,Owner 41,MD 41,121,Hierarchical,"Director A41, Director B41",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,7,454696775,66926648,Stable,42732066,50,182,"Excavators, Cranes, Concrete Mixers",Medium,273,Yes,Yes,ISO 9001,High,Non-Compliant,Compliant
Square Infra Solutions 42,Pvt Ltd,2007,YD15VYVSBF,ZL0KYKTOWGU8HEO,A3I0VK736E,Chennai,9641010607,squareinfrasolutions42@example.com,www.squareinfra42.com,Karur,Owner 42,MD 42,417,Hierarchical,"Director A42, Director B42",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,20,11,499104399,55040598,At Risk,9066839,88,166,"Excavators, Cranes, Concrete Mixers",Low,233,No,No,ISO 14001,Medium,Compliant,Compliant
Square Infra Solutions 43,Proprietorship,2017,Y5PHZ3RBCF,59URU8N0RLJ9Q3B,YHZKXJNL9S,Kancheepuram,9199505312,squareinfrasolutions43@example.com,www.squareinfra43.com,Ramanathapuram,Owner 43,MD 43,185,Hierarchical,"Director A43, Director B43",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,23,22,204250692,164663626,Stable,13982285,45,17,"Excavators, Cranes, Concrete Mixers",High,287,Yes,No,ISO 14001,High,Partial,Compliant
Square Infra Solutions 44,Ltd,1999,92LU2VQUFZ,FDWPZXQET99I438,402NHEDBXS,Ramanathapuram,9903436962,squareinfrasolutions44@example.com,www.squareinfra44.com,Tiruvarur,Owner 44,MD 44,71,Hierarchical,"Director A44, Director B44",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,12,25,269990426,19040772,Moderate,10077708,63,154,"Excavators, Cranes, Concrete Mixers",Medium,158,No,Yes,ISO 9001,High,Partial,Compliant
Square Infra Solutions 45,Partnership,2014,B2XUQGX2MN,BS9LWTA74S4ZUDL,8TT6ED6PVV,Namakkal,9001998050,squareinfrasolutions45@example.com,www.squareinfra45.com,Kallakurichi,Owner 45,MD 45,446,Hierarchical,"Director A45, Director B45",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,19,184794700,54648797,Stable,20559517,41,181,"Excavators, Cranes, Concrete Mixers",Low,13,Yes,Yes,Multiple,Medium,Non-Compliant,Partial
Square Infra Solutions 46,Pvt Ltd,1995,204A52VKGH,P9VO0LBVQC51NWS,HT0Q7QD57T,Tiruppur,9485442190,squareinfrasolutions46@example.com,www.squareinfra46.com,Tiruppur,Owner 46,MD 46,338,Hierarchical,"Director A46, Director B46",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,24,17,340001834,45163827,Moderate,10467458,82,114,"Excavators, Cranes, Concrete Mixers",High,10,Yes,No,Not Certified,High,Non-Compliant,Partial
Square Infra Solutions 47,Partnership,2021,DC208V2UFI,GBQT00KEOQ2WK0D,9QNJYUTQQC,Theni,9069167466,squareinfrasolutions47@example.com,www.squareinfra47.com,Theni,Owner 47,MD 47,253,Hierarchical,"Director A47, Director B47",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,19,36914275,266027017,Stable,42432797,23,177,"Excavators, Cranes, Concrete Mixers",High,204,Yes,Yes,ISO 9001,High,Compliant,Compliant
Square Infra Solutions 48,Proprietorship,2012,CSNL0CZT7Y,RG0CXRI64PCXJ3H,UGYQHAEFGT,Viluppuram,9459783408,squareinfrasolutions48@example.com,www.squareinfra48.com,Sivaganga,Owner 48,MD 48,121,Hierarchical,"Director A48, Director B48",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,17,136689862,23511720,Moderate,10811583,93,73,"Excavators, Cranes, Concrete Mixers",Low,249,No,No,ISO 45001,High,Non-Compliant,Compliant
Square Infra Solutions 49,Ltd,1999,EKIKRAGQ7H,T6QV6Y22NZWU9PH,KYNAE38BZN,Dindigul,9469220164,squareinfrasolutions49@example.com,www.squareinfra49.com,Ramanathapuram,Owner 49,MD 49,474,Hierarchical,"Director A49, Director B49",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,5,2,339724310,250308726,At Risk,3255965,96,153,"Excavators, Cranes, Concrete Mixers",Medium,294,No,Yes,ISO 9001,Low,Non-Compliant,Compliant
Square Infra Solutions 50,Proprietorship,2020,GQZPX2W1BC,I3V84MNCKVWEPFV,PDHBKF3TUQ,Tirupathur,9994106111,squareinfrasolutions50@example.com,www.squareinfra50.com,Sivaganga,Owner 50,MD 50,44,Hierarchical,"Director A50, Director B50",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,21,20,63759888,115074367,Stable,25377563,43,36,"Excavators, Cranes, Concrete Mixers",High,296,No,Yes,Not Certified,High,Partial,Compliant
Square Infra Solutions 51,Proprietorship,2012,40ZJE92A5U,K5593CXUVPHF11H,IAPOZADL1L,Virudhunagar,9230262563,squareinfrasolutions51@example.com,www.squareinfra51.com,Chennai,Owner 51,MD 51,133,Hierarchical,"Director A51, Director B51",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,22,4,320708832,18720438,Moderate,15062939,5,31,"Excavators, Cranes, Concrete Mixers",Low,9,No,Yes,ISO 9001,Low,Non-Compliant,Compliant
Square Infra Solutions 52,Pvt Ltd,2000,E87L51R9M8,7TYTIXG09PYHVIB,FWXM2258GA,Ranipet,9518308561,squareinfrasolutions52@example.com,www.squareinfra52.com,Tiruchirappalli,Owner 52,MD 52,271,Hierarchical,"Director A52, Director B52",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,2,24,477396591,239853432,Moderate,12323087,22,134,"Excavators, Cranes, Concrete Mixers",Medium,144,Yes,Yes,Not Certified,Low,Non-Compliant,Non-Compliant
Square Infra Solutions 53,Pvt Ltd,2003,JB0TH8UDXF,2MB8XFBAMOCXDVM,1BL0ULDYEX,Ranipet,9405427672,squareinfrasolutions53@example.com,www.squareinfra53.com,Theni,Owner 53,MD 53,119,Hierarchical,"Director A53, Director B53",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,19,5,51747700,231035504,At Risk,20689959,71,108,"Excavators, Cranes, Concrete Mixers",Low,259,No,Yes,Multiple,High,Partial,Non-Compliant
Square Infra Solutions 54,Partnership,2016,51OVW9QML8,AWW28PJXUIVQHT8,AJHC5CGT9H,Mayiladuthurai,9886089285,squareinfrasolutions54@example.com,www.squareinfra54.com,Dharmapuri,Owner 54,MD 54,19,Hierarchical,"Director A54, Director B54",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,30,16,256728206,184131303,Stable,37766997,58,151,"Excavators, Cranes, Concrete Mixers",Medium,142,No,Yes,Not Certified,Medium,Non-Compliant,Partial
Square Infra Solutions 55,Ltd,2012,OTPENNF8PG,R31DRALUQXSJH6M,KQ4O35VB8C,Ramanathapuram,9105980675,squareinfrasolutions55@example.com,www.squareinfra55.com,Dindigul,Owner 55,MD 55,346,Hierarchical,"Director A55, Director B55",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,9,2,156468553,240728887,Stable,41907084,18,177,"Excavators, Cranes, Concrete Mixers",Low,194,No,Yes,ISO 9001,Low,Non-Compliant,Partial
Square Infra Solutions 56,Ltd,2009,LG2478KOMV,B34P93KI7VQ1TS7,M6OBUU9E1L,Nagapattinam,9254251696,squareinfrasolutions56@example.com,www.squareinfra56.com,Kallakurichi,Owner 56,MD 56,295,Hierarchical,"Director A56, Director B56",Construction & Infrastructure,Roads & Buildings,Tamil Nadu,29,4,152073636,257206514,Stable,31310063,90,27,"Excavators, Cranes, Concrete Mixers",High,75,Yes,Yes,ISO 9001,Medium,Compliant,Non-Compliant
